reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-1320,Myogi Prefectural Park,36.2865,138.74,PM96ig,JP-GM,21,20,549,0,0
JP-1321,Shikishima Prefectural Park,36.4142,139.051,PM96mj,JP-GM,36,34,648,0,0
JP-1322,Gunma no Mori Prefectural Park,36.2979,139.081,PM96mh,JP-GM,48,41,967,0,0
JP-1323,Kanayama General Prefectural Park,36.3185,139.372,PM96qh,JP-GM,49,44,1375,0,0
JP-1324,Kannonyama Family Prefectural Park,36.2903,138.993,PM96lg,JP-GM,74,68,2045,0,0
JP-1325,Tataranuma Prefectural Park,36.2578,139.504,PM96sg,JP-GM,90,82,2958,0,0
JP-1326,Shibireko Prefectural Nature Park,35.5291,138.517,PM95gm,JP-YN,34,32,1211,0,0
JP-1327,Minami Alps Koma Prefectural Nature Park,35.5941,138.357,PM95eo,JP-YN,69,62,1796,0,0
JP-1328,Kose Sports Prefectural Park,35.6222,138.587,PM95ho,JP-YN,55,49,1268,0,0
JP-1329,Atagoyama Koiki Prefectural Park,35.6724,138.582,PM95gq,JP-YN,32,31,557,0,0
JP-1330,Sone Kyuryo Prefectural Park,35.5898,138.582,PM95go,JP-YN,43,41,1010,0,0
JP-1331,Midai Minami Prefectural Park,35.6681,138.455,PM95fq,JP-YN,38,37,996,0,0
JP-1332,Flower Center Heidi's Village Prefectural Park,35.7809,138.464,PM95fs,JP-YN,29,27,930,0,0
JP-1333,Fujikawa Craft Prefectural Park,35.4181,138.437,PM95fk,JP-YN,36,31,1042,0,0
JP-1334,Fujihokuroku Prefectural Park,35.454,138.768,PM95jk,JP-YN,44,43,1477,0,0
JP-1335,Ontake Prefectural Nature Park,35.9127,137.518,PM85sv,JP-NN,33,30,1177,0,0
JP-1336,Mibugawa Suikei Prefectural Nature Park,35.8311,138.062,PM95at,JP-NN,72,69,1857,0,0
JP-1337,Enrei Ojo Prefectural Nature Park,36.0859,138.029,PM96ac,JP-NN,210,199,4883,0,0
JP-1338,Hijiriyama Kogen Prefectural Nature Park,36.4896,138.065,PM96al,JP-NN,57,55,1728,0,0
JP-1339,Tenryu Koshibu Suikei Prefectural Nature Park,35.6121,137.988,PM85xo,JP-NN,26,25,971,0,0
JP-1340,Karasugawa Keikoku Ryokuchi Prefectural Park,36.3135,137.831,PM86vh,JP-NN,28,28,554,0,0
JP-1341,Matsumotodaira Koiki Prefectural Park,36.1682,137.925,PM86xe,JP-NN,101,94,2331,0,0
JP-1342,Minami Shinshu Koiki Prefectural Park,35.2496,137.67,PM85uf,JP-NN,30,29,2151,0,0
JP-1343,Iida Undo Prefectural Park,35.4857,137.8,PM85vl,JP-NN,22,21,668,0,0
JP-1344,Komaba Prefectural Park,36.2551,138.486,PM96fg,JP-NN,29,29,751,0,0
JP-1345,Wakasato Prefectural Park,36.6347,138.188,PM96cp,JP-NN,34,34,866,0,0
JP-1347,Nagano Sports Prefectural Park,36.6591,138.232,PM96cp,JP-NN,28,27,739,0,0
JP-1348,Senami Sasagawanagare Awashima Prefectural Nature Park,38.423,139.476,PM98rk,JP-NI,44,38,3483,0,0
JP-1349,Tainai Ninoji Prefectural Nature Park,37.9695,139.514,PM97sx,JP-NI,22,21,980,0,0
JP-1350,Aganogawa Line Prefectural Nature Park,37.6862,139.457,PM97rq,JP-NI,25,22,818,0,0
JP-1351,Gozu Renpo Prefectural Nature Park,37.8143,139.358,PM97qt,JP-NI,17,17,1050,0,0
JP-1352,Nagaoka Higashiyama Yamamotoyama Prefectural Nature Park,37.4228,138.934,PM97lk,JP-NI,15,12,535,0,0
JP-1353,Okuhayade Awa Sumon Prefectural Nature Park,37.5793,139.147,PM97nn,JP-NI,8,8,450,0,0
JP-1354,Uonuma Renpo Prefectural Nature Park,37.0143,138.965,PM97la,JP-NI,9,8,315,0,0
JP-1355,Yoneyama Fukuurahakkei Prefectural Nature Park,37.3427,138.483,PM97fi,JP-NI,25,24,743,0,0
JP-1356,Naomine Matsunoyama Oike Prefectural Nature Park,37.1745,138.373,PM97ee,JP-NI,31,30,1005,0,0
JP-1357,Kubiki Prefectural Nature Park,37.1716,138.096,PM97be,JP-NI,26,26,959,0,0
JP-1358,Hakuba Sanroku Prefectural Nature Park,36.9559,137.961,PM86xw,JP-NI,11,11,351,0,0
JP-1359,Oyashirazu Koshirazu Prefectural Nature Park,36.9921,137.694,PM86ux,JP-NI,17,17,548,0,0
JP-1360,Kosado Prefectural Nature Park,38.066,138.55,PM98gb,JP-NI,12,8,464,0,0
