SummitCode,SummitName,Latitude,Longitude,AltM
JA/FI-105,Okamijima,35.63800,135.80560,195
JA/FI-106,Dakeyama,35.62070,135.90010,190
JA/FI-107,Dannohana,35.52760,135.49150,161
JA/FS-001,Hiuchigatake (Shibayasugura),36.95510,139.28529,2356
JA/FS-002,Aizukomagatake,37.04750,139.35361,2133
JA/FS-003,Nishiadumayama,37.73820,140.14079,2035
JA/FS-004,Higashiadumayama,37.71170,140.23030,1975
JA/FS-005,Nakaagatsumayama,37.71560,140.18570,1931
JA/FS-006,Mikurayama,37.15780,139.90260,1888
JA/FS-007,Asahidake,37.18040,139.95990,1830
JA/FS-008,Maruyamadake,37.17270,139.33490,1820
JA/FS-009,Bandaisan,37.60100,140.07230,1816
JA/FS-010,Takayama,37.70060,140.25751,1805
JA/FS-011,Karekiyama,36.99790,139.54640,1756
JA/FS-012,Minowayama,37.64710,140.28090,1728
JA/FS-013,Ooshiromoriyama,37.20190,139.98331,1642
JA/FS-014,Takakurayama,37.12450,139.64931,1638
JA/FS-015,Ooarashiyama,37.04700,139.55070,1635
JA/FS-016,Asahidake,37.22110,139.33960,1624
JA/FS-017,Inakoyama,37.13850,139.40810,1607
JA/FS-018,Iimorisan,37.81380,139.92560,1595
JA/FS-019,Asakusadake,37.34360,139.23360,1586
JA/FS-020,Tsuchikurayama,37.04910,139.58810,1550
JA/FS-021,Futamatayama,37.24640,139.96730,1544
JA/FS-022,Murasugidake,37.21360,139.25450,1535
JA/FS-023,JA/FS-023,37.15630,139.44580,1526
JA/FS-024,Kemouyama,37.25670,139.17509,1517
JA/FS-025,Maruyama,37.18090,139.46880,1488
JA/FS-026,Hakaseyama,37.36320,139.71471,1482
JA/FS-027,Oosawasarukurayama,37.24260,139.25450,1455
JA/FS-028,Kouzoneyama,37.72230,139.99730,1440
JA/FS-029,Hakamagoshiyama,37.04800,139.44949,1424
JA/FS-030,Ootodake,37.33670,139.95329,1416
JA/FS-031,Karoudake,37.11070,139.75639,1414
JA/FS-032,Kawagetayama,37.55810,140.17709,1413
JA/FS-033,Nekomagatake,37.61160,140.02831,1404
JA/FS-034,Onodake,37.32590,139.88660,1383
JA/FS-035,Yokoyama,37.30890,139.80380,1379
JA/FS-036,Ootakiyama,37.55740,140.20120,1370
JA/FS-037,JA/FS-037,37.09210,139.28120,1365
JA/FS-038,Manaitakurayama,37.11050,139.54140,1339
JA/FS-039,Daihadayama,37.22250,139.49330,1315
JA/FS-040,Mujinagamoriyama,37.46650,139.40620,1315
JA/FS-041,Sabuzawayama,37.11590,139.47650,1314
JA/FS-042,Takahatayama,37.09080,139.46581,1294
JA/FS-043,Maekemouyama,37.28480,139.20959,1234
JA/FS-044,JA/FS-044,37.36810,139.62770,1234
JA/FS-045,Kainariyama,37.08840,139.73860,1222
JA/FS-046,Shirabuyama,37.64620,140.13440,1221
JA/FS-047,Nanatsumori,37.90120,140.29829,1220
JA/FS-048,Ootakineyama,37.35490,140.70160,1193
JA/FS-049,Marukurayama,37.41830,139.20760,1191
JA/FS-050,Nunomoriyama,37.59870,140.19420,1178
JA/FS-051,Miakashiyama,37.24820,139.82201,1161
JA/FS-052,Sakurayama,37.10620,139.50459,1157
JA/FS-053,Near Ushikubiyama,37.12710,139.53450,1154
JA/FS-054,Takamoriyama,37.74620,139.65860,1151
JA/FS-055,Hachimoriyama,37.69150,140.02409,1150
JA/FS-056,Minowayama,37.32790,140.00681,1146
JA/FS-057,Nabekurayama,37.51260,139.49640,1137
JA/FS-058,Hachimandake,37.33840,140.16690,1102
JA/FS-059,Takamoriyama,37.42230,139.58640,1100
JA/FS-060,Hikageyama,37.60050,140.22009,1076
JA/FS-061,Myoujingatake,37.42800,139.75990,1074
JA/FS-062,Nakanomatayama,37.45250,139.25110,1070
JA/FS-063,Hiyama (Tennouzan),37.54290,140.68350,1057
JA/FS-064,Kuroiwayama,37.29520,139.58020,1056
JA/FS-065,Taishouhatayama,37.44180,140.20380,1056
JA/FS-066,Oomukaiyama,37.40650,139.74930,1044
JA/FS-067,Akakuzureyama,37.42470,139.25861,1034
